Date,Close
31-12-08,903.25
02-01-09,931.799988
05-01-09,927.450012
06-01-09,934.700012
07-01-09,906.650024
08-01-09,909.72998
09-01-09,890.349976
12-01-09,870.26001
13-01-09,871.789978
14-01-09,842.619995
15-01-09,843.73999
16-01-09,850.119995
20-01-09,805.219971
21-01-09,840.23999
22-01-09,827.5
23-01-09,831.950012
26-01-09,836.570007
27-01-09,845.710022
28-01-09,874.090027
29-01-09,845.140015
30-01-09,825.880005
02-02-09,825.440002
03-02-09,838.51001
04-02-09,832.22998
05-02-09,845.849976
06-02-09,868.599976
09-02-09,869.890015
10-02-09,827.159973
11-02-09,833.73999
12-02-09,835.190002
13-02-09,826.840027
17-02-09,789.169983
18-02-09,788.419983
19-02-09,778.940002
20-02-09,770.049988
23-02-09,743.330017
24-02-09,773.140015
25-02-09,764.900024
26-02-09,752.830017
27-02-09,735.090027
02-03-09,700.820007
03-03-09,696.330017
04-03-09,712.869995
05-03-09,682.549988
06-03-09,683.380005
09-03-09,676.530029
10-03-09,719.599976
11-03-09,721.359985
12-03-09,750.73999
13-03-09,756.549988
16-03-09,753.890015
17-03-09,778.119995
18-03-09,794.349976
19-03-09,784.039978
20-03-09,768.539978
23-03-09,822.919983
24-03-09,806.119995
25-03-09,813.880005
26-03-09,832.859985
27-03-09,815.940002
30-03-09,787.530029
31-03-09,797.869995
01-04-09,811.080017
02-04-09,834.380005
03-04-09,842.5
06-04-09,835.47998
07-04-09,815.549988
08-04-09,825.159973
09-04-09,856.559998
13-04-09,858.72998
14-04-09,841.5
15-04-09,852.059998
16-04-09,865.299988
17-04-09,869.599976
20-04-09,832.390015
21-04-09,850.080017
22-04-09,843.549988
23-04-09,851.919983
24-04-09,866.22998
27-04-09,857.51001
28-04-09,855.159973
29-04-09,873.640015
30-04-09,872.809998
01-05-09,877.52002
04-05-09,907.23999
05-05-09,903.799988
06-05-09,919.530029
07-05-09,907.390015
08-05-09,929.22998
11-05-09,909.23999
12-05-09,908.349976
13-05-09,883.919983
14-05-09,893.070007
15-05-09,882.880005
18-05-09,909.710022
19-05-09,908.130005
20-05-09,903.469971
21-05-09,888.330017
22-05-09,887
26-05-09,910.330017
27-05-09,893.059998
28-05-09,906.830017
29-05-09,919.140015
01-06-09,942.869995
02-06-09,944.73999
03-06-09,931.76001
04-06-09,942.460022
05-06-09,940.090027
