Date,Close
2008-12-31,1.397995
2009-01-01,1.399894
2009-01-02,1.392292
2009-01-05,1.364592
2009-01-06,1.351004
2009-01-07,1.3611
2009-01-08,1.369901
2009-01-09,1.345497
2009-01-12,1.3360049999999999
2009-01-13,1.320202
2009-01-14,1.3217020000000002
2009-01-15,1.315807
2009-01-16,1.329204
2009-01-19,1.309397
2009-01-20,1.288494
2009-01-21,1.300508
2009-01-22,1.300678
2009-01-23,1.2964959999999999
2009-01-26,1.319192
2009-01-27,1.321598
2009-01-28,1.3153219999999999
2009-01-29,1.293795
2009-01-30,1.2836969999999999
2009-02-02,1.281493
2009-02-03,1.301287
2009-02-04,1.285562
2009-02-05,1.279116
2009-02-06,1.292708
2009-02-09,1.295908
2009-02-10,1.291406
2009-02-11,1.2868030000000001
2009-02-12,1.289092
2009-02-13,1.286604
2009-02-16,1.279902
2009-02-17,1.258194
2009-02-18,1.256897
2009-02-19,1.265903
2009-02-20,1.293293
2009-02-23,1.2678129999999999
2009-02-24,1.287399
2009-02-25,1.272426
2009-02-26,1.272054
2009-02-27,1.267893
2009-03-02,1.256408
2009-03-03,1.25318
2009-03-04,1.263807
2009-03-05,1.254674
2009-03-06,1.263807
2009-03-09,1.262276
2009-03-10,1.271666
2009-03-11,1.280672
2009-03-12,1.28989
2009-03-13,1.292992
2009-03-16,1.297606
2009-03-17,1.3033219999999999
2009-03-18,1.348399
2009-03-19,1.366195
2009-03-20,1.3581969999999999
2009-03-23,1.3620450000000002
2009-03-24,1.348127
2009-03-25,1.3577
2009-03-26,1.35307
2009-03-27,1.329204
2009-03-29,1.318618
2009-03-30,1.3246959999999999
2009-03-31,1.3241
2009-04-01,1.346692
2009-04-02,1.348909
2009-04-05,1.3405719999999999
2009-04-06,1.327739
2009-04-07,1.325135
2009-04-08,1.3159969999999999
2009-04-09,1.317593
2009-04-12,1.336398
2009-04-13,1.327404
2009-04-14,1.322594
2009-04-15,1.318044
2009-04-16,1.3044950000000002
2009-04-19,1.292892
2009-04-20,1.2934940000000001
2009-04-21,1.300576
2009-04-22,1.314095
2009-04-23,1.325803
2009-04-26,1.3018969999999999
2009-04-27,1.313094
